pce,li
RCIRR016,LI0001
NQUIERS1,LI0002
RCIRR011,LI0003
LCI38049,LI0004
C1352000,LI0006
CG05522H,LI0007
FIA1683H,LI0010
LCI26064,LI0013
LCI26068,LI0013
MINPRO14,LI0014
C1727000,LI0015
C1776000,LI0016
MINPRO07,LI0020
MINPRO03,LI0021
FII5634B,LI0024
FII5642B,LI0024
FII5644B,LI0024
RCIRR020,LI0028
C2143000,LI0029
C2143100,LI0029
MINMAR01,LI0030
MINPRO65,LI0032
NBPBFRAN,LI0033
NMONTATA,LI0034
FI22023B,LI0036
FIL2023B,LI0036
FIL2025B,LI0036
FIS53355,LI0037
FIS5335H,LI0037
NTHOURO2,LI0038
NTHOURO3,LI0038
NTHOUROT,LI0038
RCIRR040,LI0039
FIO4662B,LI0040
MINGAR03,LI0041
C6915000,LI0042
FIA2933B,LI0044
FIA168BH,LI0045
MINPRO05,LI0047
C3349000,LI0049
C3349100,LI0049
FII5862B,LI0050
C1486000,LI0051
C1488000,LI0051
C5622000,LI0053
FIO1052B,LI0054
RCIRR058,LI0056
RCIRR059,LI0056
RCIRR004,LI0057
C5037000,LI0058
MINPRO02,LI0059
C1775000,LI0060
FIA1687H,LI0062
C5656000,LI0063
MINPRO04,LI0064
C5083000,LI0066
FIS5542B,LI0067
C3127000,LI0068
C5917000,LI0070
RCIRR008,LI0071
RCIRR049,LI0071
FIA4415B,LI0072
FIS5352H,LI0073
FIS5353H,LI0073
NAMILLI,LI0075
NPOISSY,LI0075
FIH4024B,LI0076
C5642000,LI0077
RCIRR035,LI0078
RCIRR078,LI0082
C5733000,LI0083
C5733100,LI0083
C1515000,LI0086
C5288000,LI0087
RCIRR026,LI0089
FIS1475B,LI0090
FIH5026B,LI0091
FID4274B,LI0092
LCF71001,LI0096
LCF71005,LI0096
LCF71003,LI0097
LCF71004,LI0097
FIA1762H,LI0098
C1553000,LI0099
LCF38001,LI0100
C5097000,LI0102
FIH5164B,LI0103
MINPRO23,LI0104
NVELICHA,LI0105
NVELICO2,LI0105
NVELICOG,LI0105
NSTOCHF,LI0106
NSTOCPCU,LI0106
NMEAUCOG,LI0107
NNRMEAUX,LI0107
RCIRR061,LI0110
LCF69001,LI0111
LCI01078,LI0115
LCI74044,LI0116
LCI38058,LI0117
LCI38055,LI0118
LCI01063,LI0119
LCI01021,LI0120
LCI38046,LI0121
LCI38050,LI0122
LCI73052,LI0123
LCI73057,LI0124
LCI38045,LI0125
LCI38081,LI0127
LCI38082,LI0128
LCI73027,LI0129
LCI07066,LI0131
LCI38085,LI0134
LCI07073,LI0135
LCI73060,LI0136
LCI73061,LI0136
LCEYO015,LI0137
LCI38043,LI0140
LCEPA002,LI0141
LCEAL055,LI0142
LCEAL054,LI0143
LCI38076,LI0145
LCI38072,LI0147
LCI21012,LI0151
LCI89001,LI0152
ACI48360,LI0154
ACI48370,LI0155
ACI50170,LI0156
ACI50330,LI0157
C1024000,LI0159
C1226000,LI0161
C5256000,LI0163
CG02221H,LI0163
C1448100,LI0167
C1487000,LI0169
C1003000,LI0170
C1003100,LI0170
C1748000,LI0171
C1757000,LI0172
C1763000,LI0173
C1777000,LI0175
C1778000,LI0176
C2162000,LI0177
C2185000,LI0179
C2227000,LI0180
C2235000,LI0181
C2253000,LI0182
C2262000,LI0183
C2263000,LI0184
C3102000,LI0187
C3172000,LI0189
C3233000,LI0191
C3235000,LI0193
C3236000,LI0194
C3272000,LI0197
C3274000,LI0198
C3282000,LI0199
C3292000,LI0200
C3340000,LI0203
C3347000,LI0204
C3355000,LI0206
C4119000,LI0208
C5038000,LI0211
C5052000,LI0212
C5074000,LI0213
C5248000,LI0214
C5253000,LI0215
C5257000,LI0216
C5290000,LI0219
C5298000,LI0219
C5346000,LI0220
C5348000,LI0221
C5623000,LI0222
C5648000,LI0224
C5664000,LI0226
C5667000,LI0227
C5723000,LI0229
C5730000,LI0230
C5735000,LI0231
C5739000,LI0232
C5782000,LI0234
C5827000,LI0235
C6084000,LI0238
C6173000,LI0240
C6175000,LI0240
C6174000,LI0241
C6602000,LI0243
C6916000,LI0244
C6918000,LI0245
C6924000,LI0246
C6926000,LI0247
C3183000,LI0250
C3316000,LI0253
C3317000,LI0254
C5003000,LI0255
C5102000,LI0258
C5332000,LI0261
C5743000,LI0262
C5798000,LI0263
C5799000,LI0264
C5828000,LI0265
C6052000,LI0266
C6056000,LI0268
C6057000,LI0269
C6097000,LI0270
C6102000,LI0271
C6104000,LI0272
C6229000,LI0275
C1327000,LI0277
C1327100,LI0277
C1484000,LI0278
C3219000,LI0279
C3228000,LI0280
C5249000,LI0282
C5252000,LI0283
C5262000,LI0284
C5299000,LI0285
C5663000,LI0286
C5773000,LI0287
C5832000,LI0289
C6038000,LI0291
C6054000,LI0292
CG06214H,LI0293
C6603000,LI0294
MINPRO60,LI0296
MINPRO66,LI0297
MINPRO75,LI0298
MINPRO20,LI0299
MINPRO17,LI0300
MINPRO18,LI0301
MINPRO01,LI0303
MINAVI14,LI0304
MINPRO10,LI0305
MINPRO11,LI0306
MINPRO15,LI0307
MINPRO13,LI0308
MINAVI03,LI0309
MINAVI01,LI0310
MINAVI05,LI0311
MINAVI24,LI0312
MINAVI25,LI0312
MINAVI17,LI0313
MINAVI18,LI0313
MINAVI11,LI0315
MINAVI06,LI0316
MINAVI07,LI0317
MINAVI09,LI0319
MINAVI10,LI0320
MINGAR02,LI0322
MINGAR04,LI0323
MINGAR05,LI0323
FIO1048B,LI0329
FIO1087B,LI0331
FIO1263B,LI0332
FIO1265B,LI0333
FIS1656H,LI0336
FIA1685H,LI0337
FIO1693H,LI0340
FID2123B,LI0345
FID2125B,LI0346
FID2133B,LI0347
FID2138B,LI0348
FIA2229B,LI0349
FIA2318B,LI0352
FIL2417B,LI0353
FID2622B,LI0354
FIA2918B,LI0356
FID3116B,LI0358
FII3435H,LI0359
FII3436H,LI0360
FIH4082B,LI0361
FIH4084B,LI0362
FIH4093B,LI0363
FIH4115B,LI0364
FIH4125B,LI0365
FIH4152B,LI0367
FID4234B,LI0368
FIA4335B,LI0371
FIA4346B,LI0372
FIA4353B,LI0373
FIA4613B,LI0375
FIA4615B,LI0376
FID4746B,LI0378
FIP4746B,LI0378
FIH5142B,LI0380
FG52659B,LI0380
FIS5346B,LI0381
FIS5546B,LI0386
FII58325,LI0390
FII5832B,LI0390
FII5844B,LI0391
FII5847B,LI0393
FIH5944H,LI0394
FII6214H,LI0396
FCO1525B,LI0401
FCD2075B,LI0402
FCA2853B,LI0404
FCI3674H,LI0405
FCI3679H,LI0406
FCD3753B,LI0407
FCH4054B,LI0409
FCH4126B,LI0410
FCD4237B,LI0411
FCD4745B,LI0413
FCH5043H,LI0414
FCH5143B,LI0415
FCS5334B,LI0418
FCI5615B,LI0420
FCI5715B,LI0421
FIO1082B,LI0425
FID2146B,LI0428
FID3114B,LI0429
FIH4025B,LI0430
FIH4055B,LI0431
FID4255B,LI0432
FIA4323B,LI0434
FIH5042H,LI0435
FIH5168B,LI0437
FIS5344B,LI0438
RCIRR018,LI0440
RCIRR087,LI0440
RCIRR010,LI0441
RCIRR009,LI0442
RCIRR021,LI0443
RCIRR019,LI0444
RCIRR034,LI0445
RCIRR006,LI0446
RCIRR001,LI0447
RCIRR029,LI0448
RCIRR027,LI0449
RCIRR003,LI0451
RCIRR043,LI0451
RCIRR002,LI0452
RCIRR031,LI0453
RCIRR099,LI0454
RCIRR030,LI0457
RCIRR045,LI0459
RCIRR047,LI0461
RCIRR056,LI0463
RCIRR053,LI0464
RCIRR055,LI0465
RCIRR067,LI0466
RCIRR062,LI0468
RCIEV001,LI0469
RCIRR028,LI0472
RCIRR039,LI0475
RCIRR050,LI0476
RCIRR089,LI0476
RCIRR052,LI0477
BANGV81,LI0479
BVAGV81,LI0480
BD145-03,LI0481
BC147-03,LI0482
BQUGV82,LI0483
BC147-04,LI0484
BQUGV81,LI0484
BSBGV81,LI0486
BREGV81,LI0488
BSBGV93,LI0489
BLMGV83,LI0490
BVAGV91,LI0491
BC148-01,LI0492
BD146-03,LI0494
BQUGV93,LI0495
BD146-09,LI0496
BQUGV92,LI0497
BSBGV92,LI0498
BSBGV91,LI0499
BLMGV84,LI0500
BLMGV91,LI0501
BLMGV87,LI0502
C5682000,LI0503
C5683000,LI0503
C5688000,LI0503
C5690000,LI0503
LCF69005,LI0504
LCF69006,LI0504
LCF69030,LI0504
LCF69002,LI0505
LCF69003,LI0505
FIA168DH,LI0506
LCF38002,LI0507
FIS5372H,LI0509
FIS5373H,LI0509
NSTDENCH,LI0510
NVCPCUCH,LI0511
NVCPCUCO,LI0511
LCI63013,LI0514
LCI42037,LI0515
LCI42036,LI0516
LCI42038,LI0516
LCI38048,LI0517
LCI73056,LI0518
LCI42035,LI0520
LCELO001,LI0521
C1214000,LI0527
C1720000,LI0528
C5077000,LI0529
C5240000,LI0531
C5240100,LI0531
C5638000,LI0532
C5689000,LI0533
C5689100,LI0533
C5943000,LI0534
C5943100,LI0534
C5943200,LI0534
NGENTAC2,LI0545
NGUYAREN,LI0547
NSOUPSUC,LI0548
NVILSTPA,LI0551
NROISAE1,LI0554
NROISAE2,LI0554
NROISAER,LI0554
NFOULDC,LI0555
NFOULDCH,LI0555
NFOULDPC,LI0555
NBOBIDEX,LI0557
NBOBICOG,LI0558
NVIT RHP,LI0559
NCHELLCO,LI0560
NAULNRSE,LI0561
NCHAUSEV,LI0562
NCOGESEV,LI0562
NVGICHAU,LI0563
NKNAUF,LI0564
NBONDYCH,LI0565
NBONDYCO,LI0565
NMARYDD,LI0566
NLEPIN,LI0567
NCHEVEFF,LI0568
NCHEVFER,LI0568
N0000000,LI0569
NSNECMA1,LI0570
NCORBIBM,LI0571
NMONTSAM,LI0572
NCHLSICA,LI0573
NLEMEECH,LI0578
NNANGSU2,LI0579
NNANGSU3,LI0579
NNANGSUL,LI0579
NAUBEPIE,LI0580
NULISCHA,LI0581
NULISCOG,LI0581
NSTMICCH,LI0582
NSTMICCO,LI0582
NGRIGNY,LI0583
NGRIGNY2,LI0583
NGRIGNYC,LI0583
NEVRSCOG,LI0584
NEVRSNEC,LI0584
NEGIECHA,LI0585
NEGIECOG,LI0585
NATHIADP,LI0586
NSVCUCHA,LI0587
NSVCUCOG,LI0587
NSACLCEN,LI0588
NSTGACH,LI0589
NMEUDCHA,LI0590
NMEUDCOG,LI0590
NJEUFOSS,LI0591
NAUBERGE,LI0593
NCOGESTA,LI0593
NMASOCHA,LI0594
NPORCALP,LI0595
NSOCLISU,LI0596
NLUTHCHA,LI0597
NLUTHCOG,LI0597
NCHESCOG,LI0598
NCHEYNA1,LI0598
NGENSNE1,LI0599
NGENSNE2,LI0599
NCORMEIL,LI0601
NHUGUENO,LI0603
NQUIESEI,LI0604
NSLEUPR2,LI0606
NSTLEUPR,LI0606
NVILLERS,LI0607
NVLBCOG,LI0609
NNOGECHA,LI0610
NNOGECOG,LI0610
NBREUILB,LI0611
NLAIGNED,LI0614
NRANTIGN,LI0615
NMALFLIB,LI0616
NCRETCIE,LI0618
NCRERATP,LI0619
NSIFRNEM,LI0621
NLESORME,LI0624
NELANDA2,LI0625
NVIRYBOR,LI0626
NVILLGEO,LI0627
NEPIPSY,LI0628
NVELI CI,LI0629
NLACELLE,LI0632
NPERSVAL,LI0633
NBORNELL,LI0634
NSTOUENH,LI0635
NCONFNOR,LI0636
MINMAR03,LI0637
MINPRO21,LI0638
MINMON01,LI0639
FIA1742H,LI0642
RCIRR068,LI0643
BNOGV81,LI0645
BNOGV83,LI0646
BD144-17,LI0647
NATOFRIB,LI0648
NCOMCDR1,LI0649
NCOMCDR2,LI0649
NVENETTR,LI0650
NRIBDRER,LI0652
NCCOLGAT,LI0653
NCAFFIFR,LI0654
NCUISEH,LI0655
NLEMEUX,LI0656
NLONGAFF,LI0657
NRIBDREC,LI0659
NRIVOIRE,LI0660
NCSYNRES,LI0662
NCSIFRAC,LI0663
FIA224AB,LI0664
FIS5548B,LI0665
FCA4263B,LI0667
FII5719B,LI0668
BLMGV89,LI0684
MINGAR06,LI0690
FII5618B,LI0691
ACI15120,LI0693
FIL2416B,LI0694
C6062000,LI0695
MINAVI80,LI0697
MINAVI81,LI0697
FIL2017B,LI0700
NRISCOGE,LI0702
NLHAYCOG,LI0703
NCHEVICO,LI0704
LCI38095,LI0705
C3129000,LI0706
LCEBG005,LI0708
LCELY020,LI0710
ACI15712,LI0711
MINPRO31,LI0712
LCF42001,LI0713
LCF58001,LI0714
BICFM010,LI0715
RCIRR072,LI0716
RCIRR090,LI0716
LCF03001,LI0717
LCF03002,LI0717
C5910000,LI0719
RCIRR066,LI0720
NFONTCHA,LI0721
NFONTCOG,LI0721
NCLIDALK,LI0722
NBLANCME,LI0723
NIVRYGNV,LI0724
NCHANTEL,LI0725
MINPRO30,LI0726
LCI07074,LI0727
FCI6122B,LI0728
ACI14340,LI0729
ACI41119,LI0730
LCF69025,LI0731
LCF21001,LI0732
FIO16A2H,LI0733
NBOUHMCF,LI0735
FII5813B,LI0736
LCEAL056,LI0737
BC147-01,LI0739
RCIRR069,LI0741
MINALP01,LI0742
BC093-01,LI0743
FIO16A4H,LI0744
RCIRR077,LI0746
NCLICHYC,LI0748
BICFM090,LI0750
ACI12340,LI0751
ACI12430,LI0751
BICFM037,LI0752
BICFM082,LI0754
BICFM091,LI0755
BICFM052,LI0757
A12250I2,LI0758
A12250T2,LI0758
ACI21258,LI0760
LCF03006,LI0761
ACI38225,LI0762
BICFM094,LI0763
ACI40925,LI0766
ACI18155,LI0767
ACI15199,LI0768
ACI44553,LI0769
BICFM032,LI0770
ACI15165,LI0771
ACI14150,LI0772
ACI17421,LI0773
ACI11190,LI0775
ACI21236,LI0776
BICFM030,LI0779
BICFM031,LI0780
LCFLY006,LI0782
BICFM070,LI0785
BICFM004,LI0786
BICFM053,LI0787
ACI38265,LI0788
BICFM081,LI0789
ACI14231,LI0790
ACI19326,LI0791
ACI41649,LI0792
ACI44546,LI0793
ACI38214,LI0794
ACI39565,LI0795
ACI38105,LI0796
ACI15751,LI0797
ACI15525,LI0799
ACI15741,LI0800
ACI35369,LI0801
BICFM093,LI0802
BICFM034,LI0803
LCF71024,LI0805
BICFM095,LI0806
ACI39460,LI0807
LCF38003,LI0808
LCFLY003,LI0809
ACI44750,LI0811
ACI16090,LI0813
ACI40980,LI0814
ACI37218,LI0815
ACI37220,LI0815
ACI15526,LI0817
BICFM055,LI0818
BICFM057,LI0818
ACI36570,LI0819
ACI18138,LI0820
ACI42165,LI0821
ACI41659,LI0822
ACI42441,LI0824
LCF71021,LI0825
LCF71022,LI0825
ACI60145,LI0826
BICFM097,LI0828
BICFM098,LI0828
LCF63015,LI0829
LCF63016,LI0829
BICFM083,LI0830
LCF63017,LI0831
ACI44240,LI0833
ACI37669,LI0834
BICFM071,LI0836
ACI37230,LI0837
ACI37300,LI0837
LCF63004,LI0838
ACI21226,LI0839
ACI22225,LI0839
ACI22226,LI0839
BICFM072,LI0840
ACI15921,LI0841
ACI12320,LI0842
ACI12322,LI0842
ACI37825,LI0844
ACI15115,LI0845
ACI15116,LI0845
ACI14335,LI0846
ACI37530,LI0847
ACI37531,LI0847
BC142-01,LI0848
ACI15124,LI0849
LCF71010,LI0850
ACI15790,LI0851
LCF69026,LI0852
BICFM042,LI0853
ACI17161,LI0854
ACI42580,LI0855
ACI42581,LI0855
ACI46229,LI0856
LCF69028,LI0858
LCFLY080,LI0861
ACI36560,LI0863
ACI16411,LI0865
ACI17411,LI0866
BICFM050,LI0867
BICFM054,LI0868
BICFM035,LI0870
ACI35126,LI0872
FIO16A7H,LI0874
RCIRR073,LI0875
BICFM033,LI0876
ACI46231,LI0877
ACI42690,LI0878
ACI42650,LI0879
ACI42651,LI0879
ACI46841,LI0880
ACI46890,LI0881
ACI46891,LI0881
ACI40777,LI0883
ACI42740,LI0884
ACI40741,LI0885
ACI46111,LI0887
ACI40370,LI0888
ACI40371,LI0888
ACI44725,LI0889
ACI44726,LI0889
LCF63001,LI0891
LCF63005,LI0892
LCF43001,LI0893
LCF63009,LI0894
LCF63010,LI0895
LCF03003,LI0896
LCF63008,LI0897
LCF03007,LI0898
LCF03004,LI0899
LCF03005,LI0902
LCF63006,LI0903
LCF43002,LI0906
LCF63011,LI0907
ACI41489,LI0908
ACI42340,LI0910
ACI39119,LI0911
ACI41479,LI0912
ACI44135,LI0914
ACI44390,LI0915
ACI41695,LI0916
ACI39229,LI0917
LCF39002,LI0918
LCFLY092,LI0919
LCF39006,LI0920
LCF39005,LI0921
C6147000,LI0922
LCFLY004,LI0923
LCFLY005,LI0925
LCF39001,LI0926
LCF21002,LI0928
LCF71023,LI0930
ACI19835,LI0931
ACI16654,LI0932
ACI16655,LI0932
ACI16656,LI0932
LCF71012,LI0935
LCF71018,LI0936
LCF71019,LI0937
LCF71020,LI0937
LCF71011,LI0938
LCF71007,LI0939
LCF71009,LI0940
LCF71008,LI0941
LCF69023,LI0942
LCF38005,LI0944
LCFLY020,LI0945
LCI01002,LI0946
LCFLY002,LI0949
LCFLY071,LI0950
LCF69009,LI0951
LCF69017,LI0952
LCF69018,LI0952
LCF69029,LI0954
LCF69020,LI0955
LCF69019,LI0957
LCF69010,LI0958
LCF69016,LI0959
LCF69015,LI0960
LCF69022,LI0961
LCF01001,LI0963
LCF42002,LI0966
LCF42007,LI0968
LCF42010,LI0969
LCF42008,LI0972
LCF42009,LI0973
LCF69027,LI0974
LCF39003,LI0976
LCF39004,LI0977
C6220000,LI0978
FIO1677H,LI0981
NSUCYSTG,LI0983
C1709000,LI0984
RCIRR054,LI0985
NFESAVER,LI0986
NSDENGNV,LI0987
LCI74001,LI0988
RCIRR076,LI0989
MINPRO25,LI0991
MINPRO76,LI0992
MINPRO77,LI0992
LCI73001,LI0993
C1724000,LI0995
CG54043H,LI0995
MINPRO22,LI0996
NBAGNKER,LI0997
NBAGNCOR,LI0998
RCIRR081,LI0999
FIL4194B,LI1000
C6224000,LI1001
C5723100,LI1002
NENERCHF,LI1003
NENERCOG,LI1003
LCI71004,LI1004
RCIRR088,LI1005
MINNIC02,LI1006
C7137000,LI1007
LCI71003,LI1008
FIH6016H,LI1009
FIH6017H,LI1009
FIH6018H,LI1009
MINPRO43,LI1010
MINPRO45,LI1010
MINPRO46,LI1010
BC093-03,LI1011
BC093-04,LI1011
CG00132H,LI1012
CG00192H,LI1012
CG03627H,LI1012
LCI63001,LI1013
BC148-03,LI1014
NSARCHF,LI1015
MINPRO26,LI1016
MINPRO27,LI1016
BC142-02,LI1017
BC142-03,LI1017
BC142-04,LI1017
FG04890H,LI1018
RCIRR091,LI1019
RCIRR092,LI1019
LCF03008,LI1020
LCF03009,LI1020
LCF03010,LI1020
MINPRO32,LI1021
MINPRO33,LI1021
MINPRO34,LI1021
MINPRO35,LI1021
MINPRO36,LI1021
CG05542H,LI1022
CG05543H,LI1022
CG05582H,LI1022
FG02463H,LI1023
NMONTAC5,LI1024
NMONTAC6,LI1024
FG00449H,LI1025
FG05763H,LI1025
FG0576SH,LI1025
NBOUSIBE,LI1027
LCF69012,LI1028
CG04587H,LI1029
CG52534H,LI1029
CGS4587H,LI1029
BC148-02,LI1031
LCI01062,LI1032
C1444000,LI1034
ACI52750,LI1035
CG53052H,LI1036
CG53764H,LI1036
BC148-04,LI1037
FG52900H,LI1038
FG52991H,LI1038
ACI14350,LI1039
MINPRO24,LI1040
BICFM020,LI1041
MINPRO08,LI1042
BICFM074,LI1043
NGENTGNV,LI2001
